sender_pseudo,msgs,anomalies,non_anom,trust_raw,trust_blend
101594,94,0,94,0.9895833333333334,0.6273660860495913
106275,95,0,95,0.9896907216494846,0.6288769050294754
107170,95,0,95,0.9896907216494846,0.6288769050294754
103035,99,0,99,0.9900990099009901,0.6347631264686859
106695,101,0,101,0.9902912621359223,0.6376164474095626
106335,106,0,106,0.9907407407407407,0.6445064608539952
101654,108,0,108,0.990909090909091,0.6471706772971064
106455,111,0,111,0.9911504424778761,0.6510746927380352
102795,115,0,115,0.9914529914529915,0.6561169324389327
105915,116,0,116,0.9915254237288136,0.6573497287289451
10993,117,0,117,0.9915966386554622,0.6585718048290095
104115,119,0,119,0.9917355371900827,0.6609845276621211
106935,123,0,123,0.992,0.665689120763598
106215,126,0,126,0.9921875,0.6691169613413048
104835,132,0,132,0.9925373134328358,0.6757313803564882
105615,140,0,140,0.9929577464788732,0.6840920303971297
101714,140,0,140,0.9929577464788732,0.6840920303971297
105015,146,0,146,0.9932432432432432,0.6900510048418051
103875,149,0,149,0.9933774834437086,0.6929381701937866
103215,151,0,151,0.9934640522875817,0.6948304450336341
106815,154,0,154,0.9935897435897436,0.6976218214061347
105675,160,0,160,0.9938271604938271,0.7030431769768868
101293,162,0,162,0.9939024390243902,0.7048046805584475
102675,164,0,164,0.9939759036144579,0.7065443190859437
107055,164,0,164,0.9939759036144579,0.7065443190859437
102915,165,0,165,0.9940119760479041,0.7074061067160957
102975,166,0,166,0.9940476190476191,0.7082626269474025
101894,166,0,166,0.9940476190476191,0.7082626269474025
106635,173,0,173,0.9942857142857143,0.7141159982203971
102315,176,0,176,0.9943820224719101,0.7165516079117982
104415,180,0,180,0.9945054945054945,0.719734576800423
101834,189,0,189,0.9947643979057592,0.7266422907878503
104595,192,0,192,0.9948453608247423,0.7288711546305601
102014,195,0,195,0.9949238578680203,0.7310650894871823
10873,195,0,195,0.9949238578680203,0.7310650894871823
105795,195,0,195,0.9949238578680203,0.7310650894871823
101173,198,0,198,0.995,0.7332251702730243
105315,206,0,206,0.9951923076923077,0.7388275363803568
103275,207,0,207,0.9952153110047847,0.7395123228698575
101413,211,0,211,0.9953051643192489,0.7422184428802305
106875,212,0,212,0.9953271028037384,0.7428868741223782
103995,219,0,219,0.995475113122172,0.747478560098253
104295,223,0,223,0.9955555555555555,0.7500362677524629
106515,226,0,226,0.9956140350877193,0.7519243193368464
101954,234,0,234,0.9957627118644068,0.7568379698035934
104775,240,0,240,0.9958677685950413,0.7604131343282119
105435,249,0,249,0.9960159362549801,0.7656101274695719
105135,250,0,250,0.996031746031746,0.7661758256166354
103335,257,0,257,0.9961389961389961,0.7700728898844471
106575,262,0,262,0.9962121212121212,0.7727914612227585
104175,263,0,263,0.9962264150943396,0.7733288881513318
104655,265,0,265,0.9962546816479401,0.7743975826295125
102074,272,0,272,0.9963503649635036,0.7780749489150519
104895,272,0,272,0.9963503649635036,0.7780749489150519
101774,275,0,275,0.9963898916967509,0.7796218188456036
104475,308,0,308,0.9967741935483871,0.7955948431416549
103155,314,0,314,0.9968354430379747,0.7983125605077529
105075,322,0,322,0.9969135802469136,0.801855839380576
104535,351,0,351,0.9971671388101983,0.8139954611857714
101113,355,0,355,0.9971988795518207,0.8155900375081738
105555,413,0,413,0.9975903614457832,0.8368721056354085
104715,436,0,436,0.997716894977169,0.8444880604609296
103515,456,0,456,0.9978165938864629,0.8507887630721216
102135,489,0,489,0.9979633401221996,0.8606004961161206
101233,516,0,516,0.9980694980694981,0.8681447922025091
107291,541,0,541,0.998158379373849,0.8747841841578621
10752,915,0,915,0.9989094874591058,0.9484161369293469
102615,1313,0,1313,0.9992395437262357,0.9989223039879775
105255,1316,0,1316,0.9992412746585736,0.9992412746585736
